Age,Work_Experience,Family_Size,Gender_Male,Ever_Married_Yes,Graduated_Yes,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing,Spending_Score_High,Spending_Score_Low,Age_Group,Family_Category
36.0,0.0,1.0,False,True,True,False,True,False,False,False,False,False,False,False,True,1,0
37.0,8.0,4.0,True,True,True,False,False,False,False,True,False,False,False,False,False,1,1
69.0,0.0,1.0,False,True,False,False,False,False,False,False,False,False,False,False,True,3,0
59.0,11.0,2.0,True,True,False,False,False,False,True,False,False,False,False,True,False,2,0
19.0,1.0,4.0,False,False,False,False,False,False,False,False,False,False,True,False,True,0,1
47.0,0.0,5.0,True,True,True,True,False,False,False,False,False,False,False,True,False,2,1
61.0,5.0,3.0,True,True,True,True,False,False,False,False,False,False,False,False,True,3,1
47.0,1.0,3.0,False,True,True,False,False,False,False,False,False,False,False,False,False,2,1
50.0,2.0,4.0,True,True,True,False,False,False,False,False,False,False,False,False,False,2,1
19.0,0.0,4.0,True,False,False,False,False,False,False,True,False,False,False,False,True,0,1
22.0,0.0,3.0,True,False,False,False,False,False,False,True,False,False,False,False,True,0,1
22.0,0.0,6.0,False,False,False,False,False,False,False,True,False,False,False,False,True,0,2
50.0,1.0,5.0,True,True,True,False,False,False,False,False,False,False,False,False,False,2,1
27.0,8.0,3.0,True,False,False,False,False,False,False,True,False,False,False,False,True,1,1
18.0,0.0,3.0,True,False,False,True,False,False,False,False,False,False,False,False,True,0,1
61.0,0.0,1.0,False,True,True,False,False,False,False,False,False,False,False,False,True,3,0
20.0,1.0,3.0,False,True,True,False,False,False,False,False,False,True,False,False,False,0,1
45.0,1.0,2.0,True,True,True,False,False,False,False,False,False,False,False,False,False,2,0
55.0,8.0,1.0,True,True,True,False,False,False,False,False,False,False,False,False,True,2,0
88.0,1.0,4.0,False,True,True,False,False,False,False,False,False,True,False,False,False,3,1
63.0,1.0,3.0,True,True,False,False,False,False,True,False,False,False,False,True,False,3,1
69.0,1.0,2.0,True,True,False,False,False,False,False,False,False,True,False,True,False,3,0
