antecedents,consequents,support,confidence,lift
frozenset({'PINK 3 PIECE POLKADOT CUTLERY SET'}),frozenset({'BLUE 3 PIECE POLKADOT CUTLERY SET'}),0.021021021021021023,0.7205882352941178,25.44986631016043
frozenset({'BLUE 3 PIECE POLKADOT CUTLERY SET'}),frozenset({'PINK 3 PIECE POLKADOT CUTLERY SET'}),0.021021021021021023,0.7424242424242424,25.44986631016043
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),0.023166023166023165,0.7605633802816901,21.887323943661972
frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.023166023166023165,0.6666666666666666,21.887323943661972
frozenset({'WOOD S/3 CABINET ANT WHITE FINISH'}),frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH'}),0.02616902616902617,0.6354166666666667,13.973172169811322
frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH'}),frozenset({'WOOD S/3 CABINET ANT WHITE FINISH'}),0.02616902616902617,0.5754716981132075,13.97317216981132
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED'}),0.03346203346203346,0.6610169491525424,13.16949152542373
frozenset({'ALARM CLOCK BAKELIKE RED'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.03346203346203346,0.6666666666666667,13.16949152542373
frozenset({'WOODEN FRAME ANTIQUE WHITE'}),frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),0.03389103389103389,0.5895522388059702,12.380597014925375
frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),frozenset({'WOODEN FRAME ANTIQUE WHITE'}),0.03389103389103389,0.7117117117117118,12.380597014925375
frozenset({'CANDLEHOLDER PINK HANGING HEART'}),"frozenset({'WHITE HANGING HEART T-LIGHT HOLDER', 'RED HANGING HEART T-LIGHT HOLDER'})",0.020163020163020164,0.5340909090909091,10.640734265734265
"frozenset({'WHITE HANGING HEART T-LIGHT HOLDER', 'RED HANGING HEART T-LIGHT HOLDER'})",frozenset({'CANDLEHOLDER PINK HANGING HEART'}),0.020163020163020164,0.4017094017094017,10.640734265734265
frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS""})",0.024882024882024883,0.5742574257425742,10.296877380045697
"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS""})",frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),0.024882024882024883,0.4461538461538462,10.296877380045697
frozenset({'CHOCOLATE HOT WATER BOTTLE'}),frozenset({'HOT WATER BOTTLE I AM SO POORLY'}),0.023595023595023596,0.3900709219858156,9.672928927116342
frozenset({'HOT WATER BOTTLE I AM SO POORLY'}),frozenset({'CHOCOLATE HOT WATER BOTTLE'}),0.023595023595023596,0.5851063829787234,9.672928927116342
frozenset({'KNITTED UNION FLAG HOT WATER BOTTLE'}),frozenset({'RED WOOLLY HOTTIE WHITE HEART.'}),0.02059202059202059,0.4247787610619469,9.61319701005241
frozenset({'RED WOOLLY HOTTIE WHITE HEART.'}),frozenset({'KNITTED UNION FLAG HOT WATER BOTTLE'}),0.02059202059202059,0.4660194174757281,9.613197010052408
frozenset({'GIN + TONIC DIET METAL SIGN'}),frozenset({'PLEASE ONE PERSON METAL SIGN'}),0.02059202059202059,0.5274725274725275,9.385789782736348
frozenset({'PLEASE ONE PERSON METAL SIGN'}),frozenset({'GIN + TONIC DIET METAL SIGN'}),0.02059202059202059,0.366412213740458,9.385789782736348
frozenset({'SET OF 6 SPICE TINS PANTRY DESIGN'}),frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN'}),0.032175032175032175,0.6818181818181818,9.348930481283421
frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN'}),frozenset({'SET OF 6 SPICE TINS PANTRY DESIGN'}),0.032175032175032175,0.4411764705882353,9.348930481283421
frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH'}),0.020163020163020164,0.4234234234234235,9.311320754716983
frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH'}),frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),0.020163020163020164,0.44339622641509435,9.311320754716983
frozenset({'JUMBO BAG STRAWBERRY'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.021879021879021878,0.6538461538461539,9.293386491557223
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG STRAWBERRY'}),0.021879021879021878,0.3109756097560975,9.293386491557222
frozenset({'PLEASE ONE PERSON METAL SIGN'}),frozenset({'COOK WITH WINE METAL SIGN'}),0.02145002145002145,0.3816793893129771,9.172109860706698
frozenset({'COOK WITH WINE METAL SIGN'}),frozenset({'PLEASE ONE PERSON METAL SIGN'}),0.02145002145002145,0.5154639175257731,9.172109860706696
frozenset({'HOME BUILDING BLOCK WORD'}),frozenset({'LOVE BUILDING BLOCK WORD'}),0.02531102531102531,0.44696969696969696,8.682386363636365
frozenset({'LOVE BUILDING BLOCK WORD'}),frozenset({'HOME BUILDING BLOCK WORD'}),0.02531102531102531,0.4916666666666667,8.682386363636363
frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.021879021879021878,0.6071428571428571,8.629573170731707
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'}),0.021879021879021878,0.3109756097560975,8.629573170731705
