Date,Forecast,Lower_95,Upper_95
2026-06-12,295.63,289.59,301.67
2026-06-15,295.63,287.08,304.18
2026-06-16,295.63,285.16,306.1
2026-06-17,295.63,283.54,307.72
2026-06-18,295.63,282.11,309.15
2026-06-19,295.63,280.82,310.44
2026-06-22,295.63,279.64,311.62
2026-06-23,295.63,278.53,312.73
2026-06-24,295.63,277.5,313.76
2026-06-25,295.63,276.52,314.74
2026-06-26,295.63,275.58,315.68
2026-06-29,295.63,274.69,316.57
2026-06-30,295.63,273.84,317.42
2026-07-01,295.63,273.01,318.25
2026-07-02,295.63,272.22,319.04
2026-07-03,295.63,271.45,319.81
2026-07-06,295.63,270.71,320.55
2026-07-07,295.63,269.98,321.28
2026-07-08,295.63,269.28,321.98
2026-07-09,295.63,268.6,322.66
2026-07-10,295.63,267.93,323.33
2026-07-13,295.63,267.28,323.98
2026-07-14,295.63,266.64,324.62
2026-07-15,295.63,266.02,325.24
2026-07-16,295.63,265.41,325.85
2026-07-17,295.63,264.81,326.45
2026-07-20,295.63,264.22,327.04
2026-07-21,295.63,263.65,327.61
2026-07-22,295.63,263.08,328.18
2026-07-23,295.63,262.52,328.74
